"variable_name","exposure_number","category","exposure","is_foodbook1_only"
"cbottled",329,"EAU","Eau embouteillée du commerce",FALSE
"ccistern",330,"EAU","Citerne",FALSE
"cnottreated",331,"EAU","",FALSE
"cotherw",332,"EAU","Autres sources d’eau",FALSE
"swaminwadeorenteredlakeriverpondorstream",333,"EAU","A nagé, pataugé ou est entré dans un lac, une rivière, un étang ou un ruisseau*",FALSE
"Q118",334,"EAU","Avoir bu de l'eau non traitée*",TRUE
"Q119",335,"EAU","Retrouvé dans un plan d'eau pour nager*",TRUE
"naturalw",336,"EAU","Se rend dans n'importe quel type de bassin d'eau naturelle",TRUE
"Q120_A",337,"EAU","Océan*",TRUE
"Q120_B",338,"EAU","Lac*",TRUE
"Q120_C",339,"EAU","Rivière*",TRUE
"Q120_D",340,"EAU","Natural hot spring*",TRUE
"pool",341,"EAU","Piscine*",TRUE
"hottub",342,"EAU","Cuve thermal*",TRUE
"waterpark",343,"EAU","Parc aquatique*",TRUE
"swim",344,"EAU","Nager ou entrer dans un complexe de natation au cours des quatre dernières semaines*",TRUE
"animalcont",346,"CONTACT AVEC LES ANIMAUX","Contact avec un animal ou avec des excréments, l'habitat ou la nourriture d'un animal*",TRUE
"animalh",347,"CONTACT AVEC LES ANIMAUX","Animaux de compagnie présents au domicile",FALSE
"domanim",348,"CONTACT AVEC LES ANIMAUX","Tout contact avec des animaux de compagnie",FALSE
"cat",349,"CONTACT AVEC LES ANIMAUX","Chat",FALSE
"dog",350,"CONTACT AVEC LES ANIMAUX","Chien",FALSE
"reptileoramphi",351,"CONTACT AVEC LES ANIMAUX","Reptile ou amphibien",FALSE
"rept",352,"CONTACT AVEC LES ANIMAUX","Reptile*",TRUE
"amphi",353,"CONTACT AVEC LES ANIMAUX","Amphibien*",TRUE
"rodent",354,"CONTACT AVEC LES ANIMAUX","Rongeur",FALSE
"rabbit",355,"CONTACT AVEC LES ANIMAUX","Lapin",FALSE
"hedgehog",356,"CONTACT AVEC LES ANIMAUX","Hérisson",FALSE
"bird",357,"CONTACT AVEC LES ANIMAUX","Oiseau",FALSE
"aquari",358,"CONTACT AVEC LES ANIMAUX","Poisson ou aquarium*",TRUE
"petwaste",359,"CONTACT AVEC LES ANIMAUX","Manipuler les déchets des animaux domestiques ou nettoyer le bac à litière/l'enclos des animaux domestiques",FALSE
"petdiarr",360,"CONTACT AVEC LES ANIMAUX","Contact avec un animal souffrant de diarrhée",FALSE
"petfood",361,"CONTACT AVEC LES ANIMAUX","A manipulé de la nourriture ou des friandises pour animaux de compagnie",FALSE
"animfddry",362,"CONTACT AVEC LES ANIMAUX","Nourriture sèche pour animaux de compagnie",FALSE
"animfdcan",363,"CONTACT AVEC LES ANIMAUX","Manipulation d'aliments en conserve ou humides pour animaux de compagnie*",TRUE
"animfdraw",364,"CONTACT AVEC LES ANIMAUX","Aliments crus pour animaux de compagnie",FALSE
"animfdtreat",365,"CONTACT AVEC LES ANIMAUX","Friandises crues faites de parties d’animaux",FALSE
"animfdpr",366,"CONTACT AVEC LES ANIMAUX","Friandises transformées pour animaux de compagnie",FALSE
"animfdrod",367,"CONTACT AVEC LES ANIMAUX","Rongeurs utilisés pour nourrir les reptiles",FALSE
"rodentsinsect",368,"CONTACT AVEC LES ANIMAUX","Manipulation de rongeurs ou d'insectes pour reptiles*",TRUE
