"variable_name","exposure_number","category","exposure","is_foodbook1_only"
"pea",31,"VEGETABLES","Peas (shelled or in pods)*",TRUE
"snappea",32,"VEGETABLES","Sugar snap peas",FALSE
"gybeans",33,"VEGETABLES","Green or yellow beans*",TRUE
"carrot",34,"VEGETABLES","Any carrots*",TRUE
"fb1_carrotsnotmini",35,"VEGETABLES","Carrots (not mini)*",TRUE
"minicar",36,"VEGETABLES","Mini/baby carrots",FALSE
"mushroom",37,"VEGETABLES","Mushrooms",FALSE
"onion",38,"VEGETABLES","Any onions",FALSE
"grnonion",39,"VEGETABLES","Green onions",FALSE
"redonion",40,"VEGETABLES","Red onions",FALSE
"oonion",41,"VEGETABLES","Other onions",FALSE
"yelonion",42,"VEGETABLES","White/yellow onions*",TRUE
"celery",43,"VEGETABLES","Celery*",TRUE
"broccoli",44,"VEGETABLES","Broccoli*",TRUE
"cauliflo",45,"VEGETABLES","Cauliflower*",TRUE
"leek",46,"VEGETABLES","Leeks*",TRUE
"garlic",47,"VEGETABLES","Fresh garlic*",TRUE
"zucchini",48,"VEGETABLES","Zucchini*",TRUE
"vegjuice",49,"VEGETABLES","Any vegetable juices*",TRUE
"vegez",50,"VEGETABLES","Frozen vegetables*",TRUE
"anyfreshherbs",52,"VEGETABLES","Any fresh herbs",FALSE
"basil",53,"VEGETABLES","Fresh basil",FALSE
"tbasil",54,"VEGETABLES","Fresh Thai basil*",TRUE
"cilantro",55,"VEGETABLES","Fresh cilantro/coriander",FALSE
"parsley",56,"VEGETABLES","Fresh parsley",FALSE
"ofherb",57,"VEGETABLES","Other fresh herbs",FALSE
"tarragon",58,"VEGETABLES","Fresh tarragon*",TRUE
"fb1_anyspices",59,"VEGETABLES","Any spices*",TRUE
"Q34_A",60,"VEGETABLES","Pepper (whole/ground, white, black, blended)*",TRUE
"Q34_B",61,"VEGETABLES","Curry powder*",TRUE
"Q34_C",62,"VEGETABLES","Paprika*",TRUE
"Q34_D",63,"VEGETABLES","Turmeric*",TRUE
"Q34_E",64,"VEGETABLES","Other spices*",TRUE
"csalad",66,"VEGETABLES","Any store-bought prepared salads?*",TRUE
"psaladstor",67,"VEGETABLES","Potato salad (store-bought prepared)*",TRUE
"pastasal",68,"VEGETABLES","Pasta salad (store-bought prepared)*",TRUE
"fruitsal",69,"VEGETABLES","Fruit salad/pre-cut fruit/fruit platter (store-bought prepared)*",TRUE
"salsa",70,"VEGETABLES","Store-bought salsa*",TRUE
"mango",72,"FRUITS","Mangoes",FALSE
"mangof",73,"FRUITS","Fresh mango",FALSE
"mangoz",74,"FRUITS","Frozen mango",FALSE
"mangod",75,"FRUITS","Dried mango",FALSE
"papaya",76,"FRUITS","Papayas",FALSE
"papayaf",77,"FRUITS","Fresh papaya",FALSE
"papayaz",78,"FRUITS","Frozen papaya",FALSE
"papayad",79,"FRUITS","Dried papaya",FALSE
"pomegra",80,"FRUITS","Pomegranate",FALSE
"pomegraf",81,"FRUITS","Fresh pomegranate (including seeds)",FALSE
"pomegraz",82,"FRUITS","Frozen pomegranate",FALSE
"avocado",83,"FRUITS","Avocado (including guacamole)",FALSE
"avocadof",84,"FRUITS","Fresh avocado",FALSE
